event_id,position_id,position_group_id,event_type,event_date,sector,location,ssco,level,category,separation_nature,separation_reason,capacity_delta_fte,demand_delta_fte
ev022,P-EDU-401,PG-EDU-004,hire,2026-05-25,EDU,01,233014,L3,A,,,1,0
ev023,P-EDU-402,PG-EDU-004,transfer_in,2026-07-15,EDU,01,233014,L3,A,,,1,0
ev024,P-EDU-403,PG-EDU-004,hire,2026-08-26,EDU,01,233014,L3,A,,,1,0
ev025,P-HLT-101,PG-HLT-001,resignation,2026-06-03,HLT,01,222113,G2,H,voluntary,compensation,-1,0
ev026,P-HLT-102,PG-HLT-001,termination,2026-06-25,HLT,01,222113,G2,H,involuntary,performance,-1,0
ev027,P-HLT-103,PG-HLT-001,resignation,2026-07-12,HLT,01,222113,G2,H,voluntary,career_growth,-1,0
ev028,P-HLT-104,PG-HLT-001,retirement,2026-08-03,HLT,01,222113,G2,H,statutory,retirement,-1,0
ev029,P-HLT-105,PG-HLT-001,hire,2026-08-16,HLT,01,222113,G2,H,,,1,0
ev030,P-HLT-106,PG-HLT-001,resignation,2026-08-20,HLT,01,222113,G2,H,voluntary,compensation,-1,0
ev031,P-HLT-107,PG-HLT-001,resignation,2026-08-26,HLT,01,222113,G2,H,voluntary,workload,-1,0
ev032,P-HLT-108,PG-HLT-001,transfer_out,2026-09-04,HLT,01,222113,G2,H,internal_mobility,internal_transfer,-1,0
ev033,P-HLT-109,PG-HLT-001,resignation,2026-09-08,HLT,01,222113,G2,H,voluntary,career_growth,-1,0
ev034,P-HLT-110,PG-HLT-001,retirement,2026-09-12,HLT,01,222113,G2,H,statutory,retirement,-1,0
ev035,P-HLT-111,PG-HLT-001,resignation,2026-09-15,HLT,01,222113,G2,H,voluntary,workload,-1,0
ev036,P-HLT-201,PG-HLT-002,resignation,2026-06-05,HLT,02,221209,G3,H,voluntary,career_growth,-1,0
ev037,P-HLT-202,PG-HLT-002,hire,2026-06-18,HLT,02,221209,G3,H,,,1,0
ev038,P-HLT-203,PG-HLT-002,termination,2026-07-05,HLT,02,221209,G3,H,involuntary,probation,-1,0
ev039,P-HLT-204,PG-HLT-002,hire,2026-07-17,HLT,02,221209,G3,H,,,1,0
ev040,P-HLT-205,PG-HLT-002,transfer_out,2026-08-05,HLT,02,221209,G3,H,internal_mobility,internal_transfer,-1,0
ev041,P-HLT-206,PG-HLT-002,hire,2026-08-14,HLT,02,221209,G3,H,,,1,0
ev042,P-HLT-207,PG-HLT-002,resignation,2026-09-06,HLT,02,221209,G3,H,voluntary,compensation,-1,0
ev043,P-HLT-301,PG-HLT-003,hire,2026-06-01,HLT,03,226404,G1,C,,,1,0
ev044,P-HLT-302,PG-HLT-003,transfer_in,2026-07-20,HLT,03,226404,G1,C,,,1,0
ev045,P-HLT-303,PG-HLT-003,hire,2026-09-01,HLT,03,226404,G1,C,,,1,0
ev046,P-MUN-101,PG-MUN-001,transfer_out,2026-06-15,MUN,01,325706,J2,F,internal_mobility,internal_transfer,-1,0
ev047,P-MUN-102,PG-MUN-001,hire,2026-06-18,MUN,01,325706,J2,F,,,1,0
ev048,P-MUN-103,PG-MUN-001,resignation,2026-07-08,MUN,01,325706,J2,F,voluntary,career_growth,-1,0
ev049,P-MUN-104,PG-MUN-001,resignation,2026-08-11,MUN,01,325706,J2,F,voluntary,compensation,-1,0
ev050,P-MUN-105,PG-MUN-001,resignation,2026-08-23,MUN,01,325706,J2,F,voluntary,workload,-1,0
ev051,P-MUN-106,PG-MUN-001,resignation,2026-09-03,MUN,01,325706,J2,F,voluntary,career_growth,-1,0
ev052,P-MUN-107,PG-MUN-001,retirement,2026-09-06,MUN,01,325706,J2,F,statutory,retirement,-1,0
ev053,P-MUN-108,PG-MUN-001,transfer_out,2026-09-13,MUN,01,325706,J2,F,internal_mobility,internal_transfer,-1,0
ev054,P-MUN-201,PG-MUN-002,resignation,2026-06-10,MUN,02,216403,J3,O,voluntary,career_growth,-1,0
ev055,P-MUN-202,PG-MUN-002,hire,2026-06-28,MUN,02,216403,J3,O,,,1,0
ev056,P-MUN-203,PG-MUN-002,transfer_out,2026-07-25,MUN,02,216403,J3,O,internal_mobility,internal_transfer,-1,0
ev057,P-MUN-204,PG-MUN-002,hire,2026-08-12,MUN,02,216403,J3,O,,,1,0
ev058,P-MUN-205,PG-MUN-002,hire,2026-09-01,MUN,02,216403,J3,O,,,1,0
ev059,P-MUN-301,PG-MUN-003,hire,2026-06-08,MUN,03,226301,J1,F,,,1,0
ev060,P-MUN-302,PG-MUN-003,transfer_in,2026-07-24,MUN,03,226301,J1,F,,,1,0
ev061,P-MUN-303,PG-MUN-003,hire,2026-09-02,MUN,03,226301,J1,F,,,1,0
ev062,P-GOV-101,PG-GOV-001,resignation,2026-06-06,GOV,01,242309,P1,C,voluntary,career_growth,-1,0
ev063,P-GOV-102,PG-GOV-001,hire,2026-06-18,GOV,01,242309,P1,C,,,1,0
ev064,P-GOV-103,PG-GOV-001,transfer_out,2026-07-12,GOV,01,242309,P1,C,internal_mobility,internal_transfer,-1,0
ev065,P-GOV-104,PG-GOV-001,hire,2026-07-25,GOV,01,242309,P1,C,,,1,0
ev066,P-GOV-105,PG-GOV-001,termination,2026-08-10,GOV,01,242309,P1,C,involuntary,probation,-1,0
ev067,P-GOV-106,PG-GOV-001,hire,2026-08-15,GOV,01,242309,P1,C,,,1,0
ev068,P-GOV-107,PG-GOV-001,resignation,2026-09-10,GOV,01,242309,P1,C,voluntary,compensation,-1,0
ev069,P-GOV-108,PG-GOV-001,demand_increase,2026-09-16,GOV,01,242309,P1,C,,,0,1
ev070,P-GOV-201,PG-GOV-002,hire,2026-06-04,GOV,02,242303,P1,R,,,1,0
ev071,P-GOV-202,PG-GOV-002,transfer_in,2026-07-29,GOV,02,242303,P1,R,,,1,0
ev072,P-GOV-203,PG-GOV-002,hire,2026-09-03,GOV,02,242303,P1,R,,,1,0
